project_main_language,pr_url,pr_source_commit,pr_target_commit,pr_change_line_count,pr_category,is_ai_comment,note,path,side,source_model,from_line,to_line,category,context,label
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"Bug: This should return `DimensionGeometry::isVertical` instead of `DimensionGeometry::isHorizontal`. When `line.x` is near zero (FLT_EPSILON), the line is vertical, not horizontal.

The condition checks `fabs(line.x) < FLT_EPSILON` which means the x-component is negligible, making the line vertical.

**Fix needed:**
```cpp
} else if (fabs(line.x) < FLT_EPSILON) {
    return DimensionGeometry::isVertical;
```",src/Mod/TechDraw/Gui/DimensionValidators.cpp,right,Claude-Code/Claude-4.5-Sonnet,435,437,Code Defect,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"Bug: This should return `DimensionGeometry::isVertical` instead of `DimensionGeometry::isHorizontal`. When `line.x` is near zero (FLT_EPSILON), the line is vertical, not horizontal.

The condition checks `fabs(line.x) < FLT_EPSILON` which means the x-component is negligible, making the line vertical.

**Fix needed:**
```cpp
} else if (fabs(line.x) < FLT_EPSILON) {
    return DimensionGeometry::isVertical;
```",src/Mod/TechDraw/Gui/DimensionValidators.cpp,right,Claude-Code/Claude-4.5-Sonnet,675,677,Code Defect,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"Spelling/API naming: `acceptableDimensionGeometrys` is an incorrect plural (should be `acceptableDimensionGeometries`). Since this is part of the function signature in a header, the typo propagates to all callers and hurts readability/searchability. Consider renaming (and updating callers) or providing a backward-compatible overload/typedef during transition.",src/Mod/TechDraw/Gui/DimensionValidators.h,right,GPT-5.2,70,70,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"Typo in parameter name: 'minimumCouts' should be 'minimumCounts' for consistency and correctness.
",src/Mod/TechDraw/Gui/DimensionValidators.h,right,Qwen-Coder-480B,83,84,Maintainability and Readability,File Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"`prefBalloonArrow()` now returns `TechDraw::ArrowType` and is cast to an int for `setCurrentIndex()`. Consider validating the resulting index against the combobox range to handle corrupted/unknown stored preference values (or enum changes across versions). Without a guard, Qt may end up with an invalid index (-1) and the UI may not reflect the actual preference/default as intended.

```suggestion
    const int idx = static_cast<int>(prefBalloonArrow());
    ui->pcbBalloonArrow->setCurrentIndex((idx >= 0 && idx < ui->pcbBalloonArrow->count()) ? idx : 0);
```",src/Mod/TechDraw/Gui/DlgPrefsTechDrawAnnotationImp.cpp,right,GPT-5.2,169,169,Code Defect,File Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"`prefArrowStyle()` returning `TechDraw::ArrowType` improves type safety, but `setCurrentIndex(static_cast<int>(prefArrowStyle()))` assumes the enum values match the combobox ordering and are within range. If the stored preference is out-of-range/unknown (e.g., older config or manual edits), this can set an invalid index. Prefer validating against `count()` or mapping enum->index explicitly (e.g., store enum as itemData and use `findData`).

```suggestion
    const int idx = static_cast<int>(prefArrowStyle());
    ui->pcbArrow->setCurrentIndex((idx >= 0 && idx < ui->pcbArrow->count()) ? idx : 0);
```",src/Mod/TechDraw/Gui/DlgPrefsTechDrawDimensionsImp.cpp,right,GPT-5.2,150,150,Code Defect,File Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"Consider initializing m_style explicitly (e.g., to a sensible default like TechDraw::ArrowType::FILLED_TRIANGLE or preference value) to avoid uninitialized enum usage. Changing from int to enum makes it easier to assume validity, but it still needs initialization in the constructor/initializer list.",src/Mod/TechDraw/Gui/QGIArrow.h,right,GPT-5.2,86,86,Code Defect,File Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/19411,0c65673a6fd2421be8fbe613116077120adea068,a050e422e23ce3eaee960b75ceff236b34f369b9,862,Code Refactoring / Architectural Improvement,True,"Reusing the same variable 'choice' for both start and end arrow types reduces code clarity. Consider using separate descriptive variables like 'startArrowType' and 'endArrowType' to make the code more readable and maintainable.
",src/Mod/TechDraw/Gui/QGILeaderLine.cpp,right,Deepseek-V3.2,429,438,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,True,"Same as above: `ResolveLink|Transform` can change plane orientation/position vs. previous behavior. If the goal is strictly to compare *geometric* parallelism irrespective of placement, you may want to avoid `Transform`; if the goal is compare in world coordinates, keep it but consider making that intent explicit (helper/constant).",src/Mod/Measure/App/Measurement.cpp,right,GPT-5.2,761,767,Code Defect,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,True,"Critical syntax error: Mismatched parentheses in the flag combination expression. Line 1 has `(Feature::ResolveLink * resolveLink) |` but the closing parenthesis is missing. Line 3 has `...transform)) |` with an extra closing parenthesis. This will cause a compilation error.

```suggestion
        bool resolveLink = (retType == 2);
        auto shape = Feature::getTopoShape(obj, subname, &mat, &subObj, 
                                (Feature::ResolveLink * resolveLink) |
                                (Feature::NeedSubElement * Base::asBoolean(needSubElement)) |
                                (Feature::Transform * Base::asBoolean(transform)) |
                                (Feature::NoElementMap * Base::asBoolean(noElementMap)));
```",src/Mod/Part/App/AppPartPy.cpp,right,GLM-4.7,2292,2297,Code Defect,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,True,"Consider verifying whether passing explicit nullptr values here adheres to intended API behavior. If these parameters are meant to be optional, prefer using default arguments in the function declaration instead of manually specifying nullptr.
",src/Mod/Part/App/FeatureMirroring.cpp,right,Qwen-Coder-480B,174,178,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,True,"Inconsistent options flags: The getTopoShape() call uses default options (ResolveLink | Transform), while the getShape() calls below explicitly include NeedSubElement flag. For consistency and to ensure sub-element access in measurement operations, consider explicitly specifying options here as well: `Part::Feature::getTopoShape(obj, subject.getElementName(), mat, nullptr, Feature::NeedSubElement | Feature::ResolveLink | Feature::Transform)`
",src/Mod/Part/App/MeasureClient.cpp,right,Claude-Code/Claude-4.5-Sonnet,101,101,Code Defect,File Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,True,"The new flags are correct in spirit, but for maintainability consider factoring the bitmask into a named constant to avoid repetition and reduce formatting/preference churn across files (many call sites will likely need the same combination).

```suggestion
    constexpr int kMeasureShapeOpts = Feature::NeedSubElement | Feature::ResolveLink | Feature::Transform;
    TopoDS_Shape shape = Part::Feature::getShape(ob, subName, nullptr, nullptr, kMeasureShapeOpts);
```",src/Mod/Part/App/MeasureClient.cpp,right,GPT-5.2,125,131,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,True,"Minor: extra leading space before `shapeOut =` makes indentation inconsistent with surrounding code and can cause noisy diffs. Align indentation.

Also: options include `NeedSubElement` which will trigger compound simplification by default inside `getTopoShape` (unless `DontSimplifyCompound` is set). Please confirm this is desirable for measurement results when the referenced sub-object ultimately resolves to a compound (e.g. single solid in a compound).

```suggestion
     shapeOut = Part::Feature::getShape(obj,
                                        subject.getElementName(),
                                        mat,
                                        nullptr,
                                        Feature::NeedSubElement | Feature::ResolveLink | Feature::Transform);
```",src/Mod/Part/App/MeasureClient.cpp,right,GPT-5.2,187,193,Code Defect,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,False,"The raw integer 0 used for the flags parameter in `Feature::getTopoShape` should be replaced with a named constant (e.g., `NoFlag`) to eliminate ambiguity and improve code readability. This change ensures explicit intent since default values no longer match the original boolean parameters' behavior.",src/Mod/Part/App/PartFeature.cpp,right,,1103,1103,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,False,"Add parentheses around `options & NeedSubElement` to improve code clarity and explicitly show the intended evaluation order, as bitwise operations in conditionals can be ambiguous to readers despite correct operator precedence.",src/Mod/Part/App/PartFeature.cpp,right,,1269,1269,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,False,"The variable `simplificationPriority` should use `std::initializer_list` instead of `std::array` for cleaner initialization, and the name should be changed to `simplificationOrder` since the sequence order matters rather than numeric priority values.",src/Mod/Part/App/PartFeature.cpp,right,,1328,1328,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,True,"There is a duplicate entry of TopAbs_SHELL in the simplificationPriority array. This means TopAbs_SHELL will be checked twice while TopAbs_EDGE will never be checked. Should remove one instance of TopAbs_SHELL and add TopAbs_EDGE.
",src/Mod/Part/App/PartFeature.cpp,right,Qwen-Coder-480B,1328,1335,Code Defect,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,False,The `simplifyCompound` function could be improved by replacing the manual loop with `std::ranges::find_if` for more idiomatic C++ code that clearly expresses the search intent through the priority array. This would enhance readability while maintaining the same functionality of selecting the highest priority single sub-shape from a compound.,src/Mod/Part/App/PartFeature.cpp,right,,1337,1342,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,False,"The current function signature placement of the options parameter as the fifth argument forces call sites to pass multiple consecutive nullptr arguments, obscuring parameter intent. Relocate the options parameter to the third position to improve readability and clarify call-site semantics.",src/Mod/Part/App/PartFeature.h,right,,143,145,Maintainability and Readability,File Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,False,The `options` parameter in `getShape` should use a strongly-typed enum (`GetShapeOptions`) instead of a raw `int` to enforce type safety and avoid magic values. This change replaces boolean flags with bitmask options but requires proper enumeration typing.,src/Mod/Part/App/PartFeature.h,right,,145,145,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,True,"Variable assignment error: This should assign to curve1, not curve2. When subnames1 has one element, it should populate curve1. Currently curve1 is only populated when subnames1 is empty.
",src/Mod/Part/Gui/Command.cpp,right,Qwen-Coder-480B,1974,1980,Code Defect,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,True,Minor: `if (subString.length() > 0)` can be simplified to `if (!subString.empty())` for clarity and avoids size_t/int comparisons.,src/Mod/Part/Gui/Mirroring.cpp,right,GPT-5.2,102,109,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,True,"This change switches from the previous overload/defaults to an explicit signature with `pmat/owner` as `nullptr` and a custom `options` mask. Two concerns:
1) Behavior change risk: previously the call used a `bool` (likely mapping to a different overload or default options). Now it forces `NeedSubElement | ResolveLink | Transform`, which may change what is returned (e.g., always requiring sub-element resolution) and could affect performance on large selections. If the intent is just “resolve links + apply transform”, consider relying on defaults: `getShape(sel.pObject, sel.SubName)` or `getShape(sel.pObject, sel.SubName, nullptr, nullptr)`.
2) Readability: passing multiple `nullptr` positional args is easy to get wrong later; if you really need `NeedSubElement`, consider adding a small local `const int options = ...;` to document intent.
Also there is trailing whitespace on the blank line after the call; please remove it to keep diffs clean.

```suggestion
        const int options = Part::Feature::ResolveLink | Part::Feature::Transform;
        TopoDS_Shape shape = Part::Feature::getShape(sel.pObject, sel.SubName, nullptr, nullptr, options);
```",src/Mod/Part/Gui/TaskCheckGeometry.cpp,right,GPT-5.2,446,452,Performance,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,True,"Bug: The loop iterator `it` is defined but not used. Inside the loop, `subnames[0].c_str()` is always called, which means only the first element of `subnames` is processed in every iteration. This should be `it->c_str()` or `(*it).c_str()` to process each element correctly.
",src/Mod/Part/Gui/TaskSweep.cpp,right,GLM-4.7,301,307,Code Defect,File Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,True,"Multiplying a boolean with an enum value `(Part::Feature::NeedSubElement * (!sub.empty()))` to conditionally set a flag relies on implicit conversion and can be less readable. Consider using a ternary operator for clarity: `(!sub.empty() ? Part::Feature::NeedSubElement : 0)` or `(!sub.empty() ? Part::Feature::NeedSubElement : Part::Feature::GetShapeOptions(0))`.
",src/Mod/PartDesign/App/FeatureSketchBased.cpp,right,Gemini-3-Pro,217,223,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/21257,17e56f6570a97aa9803b502b23cf27dc8be1da70,eb761fd69cf1fb9c674e385bb1d419814526ba5a,672,Bug Fix,True,"Potential namespace inconsistency: 'if' branch uses Part::Feature::getShape() with full namespace qualification, while 'else' branch uses Feature::getShape() without namespace. Please verify if this is intentional or if both branches should use consistent namespace qualification.
",src/Mod/Surface/App/Blending/FeatureBlendCurve.cpp,right,Deepseek-V3.2,147,147,Maintainability and Readability,File Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/22744,ab225f5672cbe45404299437d1613c308b68900b,82fef4a22503dd3affdd39e7120b6f71e9423f86,41,Security Patches / Vulnerability Fixes,False,"Unnamed parameters in `NoOpEntityResolver::resolveEntity` trigger a linter warning; name the parameters and mark them as unused (e.g., with `[[maybe_unused]]` or a `(void)` cast) to resolve both the unnamed-parameter and unused-variable warnings.",src/Base/Parameter.cpp,right,,1866,1866,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/22744,ab225f5672cbe45404299437d1613c308b68900b,82fef4a22503dd3affdd39e7120b6f71e9423f86,41,Security Patches / Vulnerability Fixes,True,"Double newline detected. The string ""\n"" followed by ""\n"" produces two consecutive newlines. Consider using a single ""\n"" or std::endl for consistency with other error messages.

```suggestion
        std::cerr << ""An error occurred during parsing\n"";
```",src/Base/Parameter.cpp,right,GLM-4.7,1911,1911,Maintainability and Readability,File Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/22744,ab225f5672cbe45404299437d1613c308b68900b,82fef4a22503dd3affdd39e7120b6f71e9423f86,41,Security Patches / Vulnerability Fixes,False,Replacing `std::endl` with `\n` in error messages may delay critical error visibility due to lack of explicit flushing; revert to `std::endl` to guarantee immediate terminal output for error reporting.,src/Base/Parameter.cpp,right,,1913,1913,Code Defect,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/20612,79008331b30d098b2c32e59752e24e0705b350bc,ec3da2e93e3fd8f69f113ca14abf892dfb86c11b,80,Code Refactoring / Architectural Improvement,False,The function `isCosmeticVertex` should accept the string parameter by `const std::string&` instead of by value to prevent unnecessary string copying and enforce immutability of the input.,src/Mod/TechDraw/App/DrawViewPart.cpp,right,,1502,1502,Performance,File Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/20612,79008331b30d098b2c32e59752e24e0705b350bc,ec3da2e93e3fd8f69f113ca14abf892dfb86c11b,80,Code Refactoring / Architectural Improvement,False,The string parameter in `isCosmeticVertex` should be passed by const reference instead of by value to avoid unnecessary copying. Change `std::string element` to `const std::string& element` for better performance.,src/Mod/TechDraw/App/DrawViewPart.h,right,,242,242,Performance,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/20612,79008331b30d098b2c32e59752e24e0705b350bc,ec3da2e93e3fd8f69f113ca14abf892dfb86c11b,80,Code Refactoring / Architectural Improvement,False,"The newly added member functions `isCosmeticVertex`, `isCosmeticEdge`, and `isCenterLine` are incorrectly declared as `static` with an unnecessary `owner` parameter; remove `static` and the `App::DocumentObject* owner` argument to correctly implement them as non-static member functions operating on the current instance.",src/Mod/TechDraw/App/DrawViewPart.h,right,,242,245,Code Defect,Repo Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/18688,abb50a4daa43abee9e6b263dd82e5e876c978c6a,a440ff7e4138c20ed2ac66977a199ebbf295e493,297,Documentation Update,True,"There appears to be a spelling error in this comment. The phrase ""an an external browser"" likely should be ""in an external browser"".
",src/Gui/DlgOnlineHelpImp.h,right,Qwen-Coder-480B,35,35,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/18688,abb50a4daa43abee9e6b263dd82e5e876c978c6a,a440ff7e4138c20ed2ac66977a199ebbf295e493,297,Documentation Update,True,"Typo: ""an an"" should likely be ""and an"".
",src/Gui/DlgOnlineHelpImp.h,right,Gemini-3-Pro,35,35,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/18688,abb50a4daa43abee9e6b263dd82e5e876c978c6a,a440ff7e4138c20ed2ac66977a199ebbf295e493,297,Documentation Update,True,"Wording is grammatically unclear: “allow one to accept negative values” sounds like a person accepts values. Rephrase to specify what accepts negative values (the property/Length2).

```suggestion
    // Remove the constraints but keep the type so Length2 can accept negative values
```",src/Mod/PartDesign/App/FeaturePad.cpp,right,GPT-5.2,66,66,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/18688,abb50a4daa43abee9e6b263dd82e5e876c978c6a,a440ff7e4138c20ed2ac66977a199ebbf295e493,297,Documentation Update,True,"This comment change introduces awkward/incorrect phrasing: “allow one to accept negative values”. It reads like the constraints are allowing a person to accept values. Consider rewording to “allow accepting negative values” or “allow it to accept negative values” for clarity.

```suggestion
    // Remove the constraints and keep the type to allow accepting negative values
```",src/Mod/PartDesign/App/FeaturePocket.cpp,right,GPT-5.2,67,67,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/18688,abb50a4daa43abee9e6b263dd82e5e876c978c6a,a440ff7e4138c20ed2ac66977a199ebbf295e493,297,Documentation Update,True,"The comment still contains grammatical error. 'don't' should be 'doesn't' for proper subject-verb agreement with 'this'.
",src/Mod/TechDraw/App/DrawTile.cpp,right,Deepseek-V3.2,46,46,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/18688,abb50a4daa43abee9e6b263dd82e5e876c978c6a,a440ff7e4138c20ed2ac66977a199ebbf295e493,297,Documentation Update,True,"Consider rephrasing for better clarity and conciseness. The phrase 'don't allow one to delete' is slightly awkward. A simpler alternative like 'deletion not allowed' or reverting to 'don't allow to delete' might improve readability.
",src/Mod/TechDraw/Gui/ViewProviderProjGroupItem.cpp,right,Qwen-Coder-480B,157,157,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/22235,730e07db5d2acafe7723eb89c83641375c375bc3,f8cd64328c49510285490dfd9872253ce7a53040,85,Documentation Update,True,"Consider using standard ASCII characters for consistency and compatibility. While the Unicode ellipsis is visually appealing, some systems or tools may not render it correctly.
",src/Mod/ReverseEngineering/App/AppReverseEngineering.cpp,right,Qwen-Coder-480B,1002,1002,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/22235,730e07db5d2acafe7723eb89c83641375c375bc3,f8cd64328c49510285490dfd9872253ce7a53040,85,Documentation Update,True,"Consider using std::make_shared instead of raw 'new' for improved safety and adherence to modern C++ practices.
",src/Mod/ReverseEngineering/App/RegionGrowing.cpp,right,Qwen-Coder-480B,58,58,Maintainability and Readability,File Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/22235,730e07db5d2acafe7723eb89c83641375c375bc3,f8cd64328c49510285490dfd9872253ce7a53040,85,Documentation Update,True,"Consider using standard ASCII triple-dot notation (...) instead of Unicode ellipsis (…) for improved compatibility across various terminals and encodings.
",src/Mod/ReverseEngineering/Gui/AppReverseEngineeringGui.cpp,right,Qwen-Coder-480B,85,85,Maintainability and Readability,Diff Level,1
C++,https://github.com/FreeCAD/FreeCAD/pull/22235,730e07db5d2acafe7723eb89c83641375c375bc3,f8cd64328c49510285490dfd9872253ce7a53040,85,Documentation Update,False,Tooltip text lacks specificity on segmentation criteria; update to state it creates separate mesh segments based on surface types per documentation.,src/Mod/ReverseEngineering/Gui/Command.cpp,right,,425,425,Maintainability and Readability,Diff Level,1
